数量,睿配编码,下单日期,发货日期,到库日期,退回日期,仓库编码,特殊标识,特殊描述,价格
6,LTMIC00003,,,,,bj0001,正常入库,,
4,LTMIC00004,,,,,bj0002,正常入库,,
6,LTMIC00005,,,,,bj0003,正常入库,,
6,LTMIC00007,,,,,bj0004,正常入库,,
6,LTMIC00009,,,,,bj0005,正常入库,,
6,LTMIC00011,,,,,bj0006,正常入库,,
8,LTMIC00012,,,,,bj0007,正常入库,,
6,LTMIC00015,,,,,bj0008,正常入库,,
8,LTMIC00016,,,,,bj0009,正常入库,,
6,LTMIC00022,,,,,bj0010,正常入库,,
6,LTMIC00023,,,,,bj0011,正常入库,,
6,LTMIC00025,,,,,bj0012,正常入库,,
6,LTMIC00033,,,,,bj0013,正常入库,,
4,LTMIC00038,,,,,bj0014,正常入库,,
26,LTMIC00041,,,,,bj0015,正常入库,,
3,LTMIC00042,,,,,bj0016,正常入库,,
26,LTMIC00043,,,,,bj0017,正常入库,,
6,LTMIC00044,,,,,bj0018,正常入库,,
8,LTMIC00045,,,,,bj0019,正常入库,,
8,LTMIC00046,,,,,bj0020,正常入库,,
4,LTMIC00049,,,,,bj0021,正常入库,,
8,LTMIC00050,,,,,bj0022,正常入库,,
8,LTMIC00051,,,,,bj0023,正常入库,,
10,LTMIC00053,,,,,bj0024,正常入库,,
14,LTMIC00055,,,,,bj0025,正常入库,,
6,LTMIC00064,,,,,bj0026,正常入库,,
4,LTMIC00090,,,,,bj0027,正常入库,,
8,LTMIC00094,,,,,bj0028,正常入库,,
4,LTMIC00095,,,,,bj0029,正常入库,,
4,LTMIC00101,,,,,bj0030,正常入库,,
4,LTMIC00104,,,,,bj0031,正常入库,,
6,LTMIC00105,,,,,bj0032,正常入库,,
4,LTMIC00112,,,,,bj0033,正常入库,,
10,LTMIC00114,,,,,bj0034,正常入库,,
4,LTMIC00115,,,,,bj0035,正常入库,,
4,LTMIC00116,,,,,bj0036,正常入库,,
6,LTMIC00118,,,,,bj0037,正常入库,,
8,LTMIC00120,,,,,bj0038,正常入库,,
8,LTMIC00123,,,,,bj0039,正常入库,,
4,LTMIC00124,,,,,bj0040,正常入库,,
6,LTMIC00126,,,,,bj0041,正常入库,,
6,LTMIC00127,,,,,bj0042,正常入库,,
10,LTMIC00128,,,,,bj0043,正常入库,,
6,LTMIC00129,,,,,bj0044,正常入库,,
4,LTMIC00131,,,,,bj0045,正常入库,,
4,LTMIC00133,,,,,bj0046,正常入库,,
8,LTMIC00135,,,,,bj0047,正常入库,,
4,LTMIC00137,,,,,bj0048,正常入库,,
4,LTMIC00138,,,,,bj0049,正常入库,,
4,LTMIC00174,,,,,bj0050,正常入库,,
6,LTMIC00181,,,,,bj0051,正常入库,,
4,LTMIC00183,,,,,bj0052,正常入库,,
6,LTMIC00196,,,,,bj0053,正常入库,,
6,LTMIC00197,,,,,bj0054,正常入库,,
4,LTMIC00200,,,,,bj0055,正常入库,,
4,LTMIC00206,,,,,bj0056,正常入库,,
4,LTMIC00207,,,,,bj0057,正常入库,,
4,LTMIC00210,,,,,bj0058,正常入库,,
2,LTMIC00213,,,,,bj0059,正常入库,,
3,LTMIC00217,,,,,bj0060,正常入库,,
4,LTMIC00245,,,,,bj0061,正常入库,,
